Task,Start,Finish,Cores,RequestId
23,2022-07-19 16:54:21.849459,2022-07-19 16:54:42.024210,4,23
21.5,2022-07-19 16:53:38.729900,2022-07-19 16:54:07.729900,1,
21.5,2022-07-19 16:54:07.729900,2022-07-19 16:54:26.729900,2,
-1,2022-07-19 16:54:38.577263,2022-07-19 16:54:38.577431,6,27
23,2022-07-19 16:54:42.024217,2022-07-19 16:55:17.179064,6,23
24,2022-07-19 16:54:44.902126,2022-07-19 16:55:04.332840,4,24
-1,2022-07-19 16:54:49.374806,2022-07-19 16:54:49.375049,6,28
22.5,2022-07-19 16:53:59.418106,2022-07-19 16:54:29.418106,1,
22.5,2022-07-19 16:54:29.418106,2022-07-19 16:54:49.418106,2,
24,2022-07-19 16:55:04.332846,2022-07-19 16:55:39.048041,6,24
25,2022-07-19 16:55:07.119393,2022-07-19 16:55:27.392586,4,25
-1,2022-07-19 16:55:14.765283,2022-07-19 16:55:14.765516,6,29
23.5,2022-07-19 16:54:21.849459,2022-07-19 16:54:52.849459,1,
23.5,2022-07-19 16:54:52.849459,2022-07-19 16:55:12.849459,2,
25,2022-07-19 16:55:27.392594,2022-07-19 16:56:00.969161,6,25
26,2022-07-19 16:55:30.170477,2022-07-19 16:55:49.264145,4,26
24.5,2022-07-19 16:54:44.902126,2022-07-19 16:55:15.902126,1,
24.5,2022-07-19 16:55:15.902126,2022-07-19 16:55:35.902126,2,
-1,2022-07-19 16:55:39.369997,2022-07-19 16:55:39.370182,6,30
26,2022-07-19 16:55:49.264152,2022-07-19 16:56:24.420817,6,26
27,2022-07-19 16:55:52.170296,2022-07-19 16:56:11.183714,4,27
-1,2022-07-19 16:55:59.804476,2022-07-19 16:55:59.804707,6,31
25.5,2022-07-19 16:55:07.119393,2022-07-19 16:55:37.119393,1,
25.5,2022-07-19 16:55:37.119393,2022-07-19 16:55:56.119393,2,
27,2022-07-19 16:56:11.183720,2022-07-19 16:56:52.232078,6,27
28,2022-07-19 16:56:13.877421,2022-07-19 16:56:34.628063,4,28
-1,2022-07-19 16:56:17.389302,2022-07-19 16:56:17.389507,6,32
26.5,2022-07-19 16:55:30.170477,2022-07-19 16:56:00.170477,1,
26.5,2022-07-19 16:56:00.170477,2022-07-19 16:56:20.170477,2,
-1,2022-07-19 16:56:34.190640,2022-07-19 16:56:34.190803,6,33
28,2022-07-19 16:56:34.628070,2022-07-19 16:57:08.584638,6,28
29,2022-07-19 16:56:37.295445,2022-07-19 16:57:18.792412,4,29
-1,2022-07-19 16:56:51.417284,2022-07-19 16:56:51.417530,6,34
28.5,2022-07-19 16:56:13.877421,2022-07-19 16:56:43.877421,1,
28.5,2022-07-19 16:56:43.877421,2022-07-19 16:57:03.877421,2,
-1,2022-07-19 16:57:13.906792,2022-07-19 16:57:13.906962,6,35
29,2022-07-19 16:57:18.792420,2022-07-19 16:57:37.256788,6,29
30,2022-07-19 16:57:21.514126,2022-07-19 16:57:47.392162,4,30
-1,2022-07-19 16:57:31.058235,2022-07-19 16:57:31.058451,6,36
-3,2022-07-19 16:57:34.065299,2022-07-19 16:57:35.066648,27,27
29.5,2022-07-19 16:56:37.295445,2022-07-19 16:57:13.295445,1,
29.5,2022-07-19 16:57:13.295445,2022-07-19 16:57:33.295445,2,
31,2022-07-19 16:57:37.911430,2022-07-19 16:58:27.009223,6,31
30,2022-07-19 16:57:47.392169,2022-07-19 16:58:16.695662,6,30
32,2022-07-19 16:57:50.416884,2022-07-19 16:58:26.909605,4,32
-1,2022-07-19 16:57:52.105147,2022-07-19 16:57:52.105422,6,37
30.5,2022-07-19 16:57:21.514126,2022-07-19 16:57:53.514126,1,
30.5,2022-07-19 16:57:53.514126,2022-07-19 16:58:13.514126,2,
-1,2022-07-19 16:58:18.181932,2022-07-19 16:58:18.182121,6,38
-1,2022-07-19 16:58:25.561249,2022-07-19 16:58:25.561439,6,39
32,2022-07-19 16:58:26.909611,2022-07-19 16:58:50.996006,6,32
31.5,2022-07-19 16:57:37.911430,2022-07-19 16:58:03.911430,1,
31.5,2022-07-19 16:58:03.911430,2022-07-19 16:58:22.911430,2,
33,2022-07-19 16:58:30.831944,2022-07-19 16:58:37.221703,4,33
33,2022-07-19 16:58:37.221710,2022-07-19 16:59:22.042897,6,33
34,2022-07-19 16:58:40.246581,2022-07-19 16:59:01.216152,4,34
-1,2022-07-19 16:58:41.281262,2022-07-19 16:58:41.281489,6,40
32.5,2022-07-19 16:57:50.416884,2022-07-19 16:58:27.416884,1,
32.5,2022-07-19 16:58:27.416884,2022-07-19 16:58:47.416884,2,
34,2022-07-19 16:59:01.216159,2022-07-19 16:59:34.318776,6,34
35,2022-07-19 16:59:03.982744,2022-07-19 16:59:32.270111,4,35
-1,2022-07-19 16:59:04.241270,2022-07-19 16:59:04.241510,6,41
33.5,2022-07-19 16:58:30.831944,2022-07-19 16:58:57.831944,1,
33.5,2022-07-19 16:58:57.831944,2022-07-19 16:59:17.831944,2,
-1,2022-07-19 16:59:28.717229,2022-07-19 16:59:28.717414,6,42
35,2022-07-19 16:59:32.270118,2022-07-19 17:00:03.381476,6,35
34.5,2022-07-19 16:58:40.246581,2022-07-19 16:59:10.246581,1,
34.5,2022-07-19 16:59:10.246581,2022-07-19 16:59:30.246581,2,
36,2022-07-19 16:59:35.026121,2022-07-19 16:59:44.525039,4,36
36,2022-07-19 16:59:44.525044,2022-07-19 17:00:28.108246,6,36
