Task,Start,Finish,Cores,RequestId
-1,2022-03-29 00:59:34.277778,2022-03-29 00:59:34.277839,8,41
16.5,2022-03-29 00:57:52.982141,2022-03-29 01:00:30.982141,1,
16.5,2022-03-29 01:00:30.982141,2022-03-29 01:03:05.982141,2,
16.5,2022-03-29 01:03:05.982141,2022-03-29 01:05:41.982141,1,
16.5,2022-03-29 01:05:41.982141,2022-03-29 01:07:51.982141,2,
16.5,2022-03-29 01:07:51.982141,2022-03-29 01:09:26.982141,1,
-1,2022-03-29 01:00:09.509782,2022-03-29 01:00:09.509843,8,42
3,2022-03-29 01:00:17.355213,2022-03-29 01:06:32.323538,4,3
17,2022-03-29 01:00:17.355353,2022-03-29 01:07:06.764770,8,17
-1,2022-03-29 01:00:45.158965,2022-03-29 01:00:45.159027,8,43
-1,2022-03-29 01:01:25.793776,2022-03-29 01:01:25.793837,8,44
-1,2022-03-29 01:02:12.105792,2022-03-29 01:02:12.105859,8,45
-1,2022-03-29 01:02:56.421793,2022-03-29 01:02:56.421855,8,46
-1,2022-03-29 01:03:41.686174,2022-03-29 01:03:41.686243,8,47
-1,2022-03-29 01:04:17.129773,2022-03-29 01:04:17.129836,8,48
-1,2022-03-29 01:04:53.005775,2022-03-29 01:04:53.005840,8,49
-1,2022-03-29 01:05:21.852738,2022-03-29 01:05:21.852799,8,50
-1,2022-03-29 01:06:01.993772,2022-03-29 01:06:01.993837,8,51
3.5,2022-03-29 01:00:17.355213,2022-03-29 01:02:38.355213,1,
3.5,2022-03-29 01:02:38.355213,2022-03-29 01:04:08.355213,2,
3.5,2022-03-29 01:04:08.355213,2022-03-29 01:05:37.355213,1,
3.5,2022-03-29 01:05:37.355213,2022-03-29 01:07:07.355213,2,
3.5,2022-03-29 01:07:07.355213,2022-03-29 01:08:34.355213,1,
-1,2022-03-29 01:06:37.490205,2022-03-29 01:06:37.490269,8,52
18,2022-03-29 01:06:42.338026,2022-03-29 01:09:29.483643,6,18
-1,2022-03-29 01:07:15.109444,2022-03-29 01:07:15.109528,8,53
-3,2022-03-29 01:07:48.244722,2022-03-29 01:07:49.245922,17,17
20,2022-03-29 01:07:52.035548,2022-03-29 01:10:54.567130,2,20
21,2022-03-29 01:07:55.091586,2022-03-29 01:10:54.567260,2,21
22,2022-03-29 01:07:58.191890,2022-03-29 01:17:04.808772,2,22
